Name,Origin,Appearance,Universe
Magneto,X-men,1963,Marvel
Joker,Batman,1940,DC
Doctor Boom,Fantastic Four,1962,Marvel
Lex Luther,Superman,1940,DC
Galactus,Silver Surfer,1966,Marvel
Darkseid,Justice League,1970,DC
Ra's al Ghul,Batman,1971,DC
Loki,Thor,1949,Marvel
Phoenix Force,X-men,1976,Marvel
Kingpin,Daredevil,1967,Marvel
Catwoman,Batman,1940,DC
Two-Face,Batman,1942,DC
Norman Osborn,Spider-man,1964,Marvel
Red Skull,Captain America,1941,Marvel
Sinestro,Green Lantern,1961,DC
Black Adam,Shazam,1945,DC
Brainiac,Superman,1958,DC
Mystique,X-men,1978,Marvel
Juggernaut,X-men,1965,Marvel
Bullseye,Daredevil,1976,Marvel
